1,BBA,Male,27,0,0,3.38,5,0,Comilla,Dhaka,Science,23100,0,3,0,2,3,1,1,1,1,1,1,1,1,1,0,Dropout
2,BBA,Male,25,24,0,4.88,5,1.78,Dhaka,Dhaka,BUSINESS STUDIES,0,0,5,0,0,5,2,1,2.33,1,1,1,3.67,2.33,3,4.33,Dropout
3,BBA,Male,26,123,0,5,5,2.93,Dhaka,Dhaka,BUSINESS STUDIES,0,1,14,0,3,15,3.33,4,3.33,4,2.33,2.33,3.33,3.33,3,4.33,Complete
4,BBA,Male,27,123,0,4.5,5,3.18,Comilla,Comilla,Business Studies,0,1,12,0,0,13,4,4.67,4.67,4.33,4.33,4.33,4.33,5,3.33,3.67,Complete
5,BBA,Female,25,123,0,5,5,2.99,Dhaka,Dhaka,Science,0,0,14,0,0,14,5,4.67,3.67,3.67,4,4.33,3.33,3.67,4,4.33,Complete
6,BBA,Male,0,0,0,5,5,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Dropout
7,BBA,Female,25,120,0,5,5,2.87,Dhaka,Dhaka,SCIENCE,0,0,17,0,0,17,1,4,4.67,3.67,4.67,4,4,2.67,4.33,4,Dropout
8,BBA,Female,0,0,0,5,5,0,Dhaka,Dhaka,BUSINESS STUDIES,25750,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Dropout
9,BBA,Female,0,123,0,5,5,2.95,Dhaka,Dhaka,Buisness Studies,0,0,13,0,3,13,4.33,3.67,4.33,4.33,4.33,4.33,4.67,4.33,4.67,4,Complete
10,BBA,Female,25,123,0,4.63,5,3.37,Dhaka,Dhaka,Business Studies,0,4,10,0,5,14,3.33,3.67,4.67,4,3.67,4.67,4.33,5,5,4.33,Complete
11,BBA,Male,27,21,0,5,5,1.57,Barisal,Dhaka,Huminities,0,0,4,0,0,4,2.33,3.33,1,2,2.67,1,2.33,3.33,2,1,Dropout
12,BBA,Female,26,123,0,5,5,3.95,Dhaka,Dhaka,Science,-44,12,14,0,2,13,5,5,5,5,5,5,5,5,5,5,Complete
13,BBA,Female,27,123,0,5,5,3.69,Dhaka,Dhaka,Business Studies,0,10,5,0,0,15,4,4,4.33,5,5,4.33,4.67,5,4.67,4.33,Complete
14,BBA,Female,27,132,0,5,5,3.81,Dhaka,Dhaka,Businessman,-1,13,1,0,2,14,5,5,4.67,5,5,4.33,5,5,5,5,Complete
15,BBA,Female,26,123,0,5,5,3.24,Dhaka,Dhaka,Business Studies,0,3,11,0,1,14,5,5,3.67,4,2.67,4.67,3,3.67,3.33,3.67,Complete
16,BBA,Female,27,123,0,5,5,3.92,Dhaka,Dhaka,SCIENCE,0,10,3,0,1,13,5,5,5,4.67,5,5,5,5,5,5,Complete
17,BBA,Female,26,123,0,4.88,5,3.66,Jessore,Dhaka,Business Studies,0,8,20,0,0,14,4.33,4.33,4.33,4.67,4.67,3.67,5,4.67,5,5,Complete
18,BBA,Female,25,0,0,5,5,0,Dhaka,0,Business Studies,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Dropout
19,BBA,Male,26,39,0,3.5,5,1.67,Comilla,0,Business Studies,0,0,7,0,1,7,2.67,1,3.67,2,2,1,1,1,2,2.67,Dropout
20,BBA,Male,25,126,0,4.75,4.3,2.73,Rajshahi,0,BUSINESS STUDIES,0,1,0,0,4,13,3.67,4.33,3.67,5,4.33,4.33,4.33,4.33,3.67,2.67,Complete
21,BBA,Female,27,45,0,4.8,4,3.4,0,0,COMMERCE,0,3,0,0,0,5,4.33,4.67,5,4.67,4.67,4.33,3.67,3.67,3.67,4.67,Dropout
22,BBA,Male,27,9,0,4.56,3.7,0.56,Dhaka,Dhaka,b.studies,37000,0,0,0,0,2,1,2,1,1,2.33,2,0,0,0,0,Dropout
23,BBA,Female,0,24,0,4.94,3.8,1.44,Dinajpur,Dinajpur,COMMERCE,37000,0,0,0,1,6,1,1,1,3.33,1,2.33,3.67,4,3.33,3.33,Dropout
24,BBA,Female,27,120,0,4.4,2,2.58,0,0,0,0,1,0,0,3,14,1,4.67,2,2.67,3.33,2.33,5,3,4.33,4.67,Dropout
25,BBA,Female,25,9,0,4.38,4.5,1.4,Dhaka,Dhaka,Business Studies,1000,0,0,0,1,2,3.33,1,1,2.67,1,4,0,0,0,0,Dropout
26,BBA,Male,26,27,0,4.75,4,1.8,Dhaka,Dhaka,business studies,0,0,0,0,0,6,1,1,3.33,2.33,1,3.67,3.33,3.33,1,3.67,Dropout
27,BBA,Male,27,126,0,4.94,4.7,2.74,Dhaka,Dhaka,B.studies,0,0,0,0,0,15,5,4.33,4,3,3,3.67,4.33,3.67,5,3.33,Complete
28,BBA,Male,25,126,0,3.94,4.1,2.8,Madrasah,Barisal,Business Studies,0,0,0,0,9,17,4.33,4,1,4.33,2.67,1,3.33,4,3,4,Complete
29,BBA,Male,26,21,0,4.13,4.8,1.43,Dhaka,Dhaka,Business stydy,0,0,0,0,0,4,1,1,1,1,1,3.33,2,4,3.67,3.67,Dropout
30,BBA,Male,25,123,0,4.19,4.6,2.54,Dhaka,Dhaka,0,0,0,0,0,1,14,3.67,2.33,4,3.67,3,2.67,2,4.33,2.67,2.33,Complete
31,BBA,Male,27,126,0,4.44,4.2,2.98,Comilla,Comilla,BUSINESS,0,0,0,0,1,14,3.67,3,4.33,4.67,4,3.67,3.67,3.67,2.67,4.33,Complete
32,BBA,Male,25,126,0,4.06,4.1,3.13,Dhaka,Dhaka,business studies,0,2,0,0,0,14,4,3.33,4.33,4,4.33,2.67,5,4.67,3.67,3.67,Complete
