Id_Key,Dept,Dept,Gender,Age,Total Comp,District,SSC_RES,HSC,CGPA,SSC_Board,HSC_Board,GroupOrSubject,TotalDue,ScholarshipCount,WaiverCount,ReAdmission,TotalLateRegFineCount,StudyDurationAtUiu,Course_1,Course_2,Course_3,Course_4,Course_5,Course_6,Course_7,Course_8,Course_9,Course_10,Status
42,BBA,1,2,27,123,0,3.75,4.3,2.81,8,8,B. Studies,0,0,0,0,0,15,1,4,3.33,3.33,3,4,3.67,4.33,3.67,2,Complete
43,BBA,1,1,0,9,0,4.69,4.7,1.56,5,5,BUSINESS STUDIES,-8400,0,0,0,0,2,3.67,2,2,0,0,0,0,0,0,0,Dropout
44,BBA,1,1,0,0,0,3.06,3.8,0,5,5,COMMERCE,1000,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,Dropout
45,BBA,1,2,27,87,0,4.5,3.7,2.09,5,5,B.STUDIES,0,0,0,0,6,13,3.33,3.67,5,3.33,3.67,3.33,2.33,3.33,2,2.67,Dropout
46,BBA,1,2,28,126,0,4.19,4.9,2.76,5,5,science,0,0,13,0,3,14,3.67,4,4.33,4.33,2,4.33,4,1,4.67,4,Complete
47,BBA,1,2,28,126,0,4,3.5,3.75,7,7,COMMERCE,0,11,0,0,1,14,5,5,4.33,5,4.67,4.67,4.33,5,4.67,5,Complete
48,BBA,1,1,26,0,0,4.25,3.9,0,4,5,Science,37000,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,Dropout
49,BBA,1,1,26,123,0,3.69,3.5,2.54,1,1,Business Studies,24000,0,0,0,12,18,1,5,3.67,4,4.67,3,4,3.33,2.67,4,Complete
50,BBA,1,2,26,63,0,4.75,4.7,2.51,5,5,Commarce,-5500,0,0,0,0,9,3,4,3.33,2,3.67,2.67,4.33,4,3.67,3.33,Dropout
51,BBA,1,1,25,0,0,5,5,0,1,1,SCINCE,25750,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Dropout
52,BBA,1,1,0,0,0,4.5,3.2,0,5,5,Business Study,37000,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,Dropout
53,BBA,1,2,26,6,0,4.38,4.5,1,11,5,SCIENCE,0,0,0,0,0,1,2,1,3,0,0,0,0,0,0,0,Dropout
54,BBA,1,1,27,123,0,5,4.2,2.68,4,4,SCIENCE,0,0,0,0,0,16,2.33,2.67,3.67,4.33,1,2.33,4,3.67,3.67,5,Complete
55,BBA,1,2,26,123,0,4.19,4.4,2.1,3,5,BUSINESS STUDIES,0,0,0,0,3,16,2,2,3.67,3.33,2.33,3.33,4.33,1,2.33,3.33,Complete
56,BBA,1,2,25,126,0,4.38,4.8,2.75,5,5,COMMERCE,0,1,0,0,0,15,3,2,2.67,3.33,3,5,2,4,2.67,4,Complete
57,BBA,1,1,25,126,0,4.06,3.8,3.21,5,5,commerce,0,2,0,0,0,13,1,1,2,4.33,4.33,3,2.67,5,4.67,4,Complete
58,BBA,1,2,26,18,0,4.63,4.7,1.75,5,5,Business studies,0,0,0,0,0,3,2.33,1,1,1,4,3,3,4.67,3,0,Dropout
59,BBA,1,1,0,15,0,4.63,4.5,1.04,0,0,0,37000,0,0,0,0,3,1,1,1,2,2,3,4,1,2.33,0,Dropout
60,BBA,1,2,28,123,0,3.83,2,2.7,7,7,commerce,0,2,9,0,4,14,3,3,4,3.33,1,4,3.33,2.67,3,3,Complete
61,BBA,1,1,26,126,0,4.5,4.1,2.54,11,11,Business studies,0,0,0,0,2,15,2,1,2.67,2.33,2.67,2.33,3.67,4,3.67,3.33,Complete
62,BBA,1,1,30,123,0,5,4.5,3.29,8,8,SCIENCE,0,2,0,0,0,13,5,1,3,3.67,3.33,5,3,5,5,3.67,Complete
63,BBA,1,1,0,9,0,4.38,4.8,1,0,5,BUSINESS STUDIES,36992,0,0,0,0,2,1,1,1,3,3,3,0,0,0,0,Dropout
64,BBA,1,1,25,123,0,4.19,4.4,2.97,5,5,Business Studies,0,0,0,0,1,14,3.67,4,3.33,3.33,3.67,3.33,4.67,4.33,4.33,1,Complete
65,BBA,1,1,25,33,0,4.13,4.1,1.57,5,5,Buisness Studies,-1500,0,0,0,0,6,1,1,1,1,3.67,2,2,1,2,3.67,Dropout
66,BBA,1,2,26,18,0,4.75,4,1.17,4,4,Commerce,3100,0,0,0,1,2,2,2,2,2,2.67,2.33,0,0,0,0,Dropout
67,BBA,1,2,25,3,0,3.25,3.6,0.33,5,5,Commerce,37000,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,Dropout
68,BBA,1,2,28,126,0,4.31,4.6,2.93,8,5,BUSINESS STUDIES,-1100,1,0,0,1,14,5,4.33,4.67,3,3.33,3.33,3.67,4.33,4.67,3.33,Complete
69,BBA,1,1,26,18,0,4.88,5,1.67,0,5,BUSINESS STUDIES,-400,0,3,0,0,3,1,2.33,2.67,2.33,2.33,3,1,3.33,0,0,Dropout
70,BBA,1,1,25,123,0,4.13,5,3.33,5,5,BUSINESS STUDIES,0,5,9,0,0,14,3,2.67,3.67,3.67,2,3,4,4.33,5,5,Complete
71,BBA,1,2,26,123,0,4.88,4.4,3.53,4,4,SCIENCE,0,7,0,0,0,14,5,5,4,5,5,4,4.33,4,4,3.67,Complete
72,BBA,1,1,25,123,0,4.13,4.1,2.59,8,8,Buisness Studies,0,0,0,0,1,14,4.67,3.67,3.67,2,2.33,4,3.67,4,2.67,2.33,Complete
73,BBA,1,2,0,0,0,4.44,5,0,5,5,Business Studies,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Dropout
74,BBA,1,1,26,123,0,4.06,4.5,2.5,6,6,BUSINESS,0,0,0,0,0,15,4.33,3.67,2.67,1,3,3,3,4,4.33,3.33,Complete
75,BBA,1,2,26,126,0,4.81,4,2.42,6,6,Science,24400,0,0,0,1,16,4.33,4.33,2.33,4.33,3.33,3,3.33,4.33,3.67,3.67,Complete
76,BBA,1,2,25,126,0,4.6,3,3.49,0,0,0,0,8,0,0,1,15,4.33,5,5,5,5,4.33,5,5,4.33,5,Complete
77,BBA,1,2,26,9,0,3.56,4,1.92,5,5,BUSINESS STUDIES,37000,0,0,0,0,2,3.33,1,4,2,1,0,0,0,0,0,Dropout
78,BBA,1,2,27,123,0,4.94,4.9,3.21,5,5,Science,0,3,0,0,1,14,4.33,4.67,5,3.67,5,4.67,5,4.33,4.33,3.67,Complete
79,BBA,1,2,28,63,0,4.63,4.7,1.92,5,5,BUSINESS STUDIES,37000,0,0,0,0,9,1,1,1,2.67,4,5,3.33,2.67,4,1,Dropout
80,BBA,1,1,27,126,0,4.88,4.6,3.45,5,5,Business Studies,0,6,0,0,0,14,4,4.33,4,4.67,5,5,4.67,5,3.33,4,Complete
81,BBA,1,2,0,33,0,3.69,3.3,1.6,5,5,Business Study4,37018,0,0,0,6,10,1,1,1,3.33,2.33,1,4,4.33,1,3,Dropout
82,BBA,1,1,0,9,0,3.81,4.6,1.4,4,4,Business Study,0,0,0,0,0,4,1,1,1,2.33,1,1,3.67,4,0,0,Dropout
83,BBA,1,2,0,60,0,4.88,4.2,3.06,5,0,Science,37000,3,0,0,0,10,1,1,1,1,1,1,1,5,1,5,Dropout
84,BBA,1,2,25,69,0,4.5,4.6,3.38,5,5,B.Studies,0,5,0,0,0,8,4.33,3.67,3.33,4,3,3,4.67,4.33,4.67,5,Dropout
85,BBA,1,1,26,0,0,4,3.9,0,4,4,business studies,37000,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,Dropout
86,BBA,1,1,26,24,0,3.81,4.7,1.33,5,5,Business stadies,37000,0,0,0,0,4,1,1,1,4.33,3.33,3,2.67,2.67,2,2.67,Dropout
87,BBA,1,2,27,51,0,4.94,4.7,2.63,5,5,BUSINESS STUDIES,0,0,0,0,0,7,3.67,3.67,4.33,2.67,1,3,2,3.67,3,3.33,Dropout
88,BBA,1,1,25,57,0,5,4.2,1.78,5,5,Business study,0,0,0,0,1,8,1,2.33,1,1,1,1,2,2.33,3,4.33,Dropout
89,BBA,1,1,0,6,0,4.88,4.1,1.13,5,5,Business Studies,22000,0,0,0,0,2,1,1,1,4,1,3.67,0,0,0,0,Dropout
90,BBA,1,1,26,126,0,4.63,4.3,2.52,11,11,Business Studies,0,0,0,0,0,15,4,3.33,2.33,4,3.67,1,2,3.67,3.67,4,Complete
91,BBA,1,1,26,126,0,4.19,4.8,2.56,5,5,Business Studies,-100,0,0,0,1,15,3,4.33,4.67,2.33,3.67,4.33,3,4,3.33,3.33,Complete
92,BBA,1,2,26,126,0,5,4.7,3.1,5,5,commerce,0,3,0,0,0,14,4.33,4,3.33,3.67,3.33,3.67,4.33,4.33,3.67,3.33,Complete
93,BBA,1,1,0,6,0,4.38,4.4,2.11,0,5,Business studies,37100,0,0,0,0,1,5,1,3.33,0,0,0,0,0,0,0,Dropout
94,BBA,1,1,28,123,0,4.44,4.4,2.36,5,0,BUSINESS STUDIES,0,0,0,0,3,19,3.67,3,2.33,1,2.33,2.33,2,1,2.67,3.67,Complete
95,BBA,1,1,25,123,0,4.88,4.4,2.11,5,5,BUSINESS STUDIES,24000,0,0,0,7,17,4.67,2.33,4.33,4,2.33,3.67,4.67,2.67,2,3,Complete
96,BBA,1,2,0,9,0,4.6,4,2.66,0,0,0,-18500,0,0,0,0,2,3.33,3.33,4.33,0,0,0,0,0,0,0,Dropout
97,BBA,1,2,25,123,0,5,5,3.99,4,5,SCIENCE,0,13,1,0,0,14,5,5,5,5,5,5,5,5,5,5,Complete
98,BBA,1,1,26,6,0,4.94,4.6,1.13,5,5,COMMERCE,39509,0,0,0,0,2,1,1,1,4,1,3.67,0,0,0,0,Dropout
99,BBA,1,1,26,126,0,3.94,4.3,2.83,5,5,Business studies,0,0,0,0,1,14,3.33,2,5,3.33,3,3.67,3.67,4.33,4.33,3,Complete
100,BBA,1,1,27,123,0,4.88,4.9,2.61,8,8,B.studies,0,0,0,0,2,15,1,3.67,2,3.33,3.33,3,4,2.33,3.33,3,Complete
101,BBA,1,1,27,123,0,3.44,4.2,2.45,5,5,Business studies,0,0,14,0,1,14,2,3.33,2.67,2,2.67,2.33,3,3.67,3.33,4,Complete
102,BBA,1,1,25,123,0,5,5,2.32,11,11,Business Studies,0,0,16,0,3,16,4,3.67,4,3.33,4,3.67,1,3.33,2,3,Complete
103,BBA,1,1,28,21,0,4.25,4.5,0.6,5,5,Business Studies,1000,0,0,0,0,3,1,1,1,1,1,2.33,1,2.67,1,0,Dropout
104,BBA,1,2,25,123,0,5,5,3.59,11,11,Arts,0,7,6,0,0,14,3,3.33,4,4.67,5,4,5,4,4,5,Complete
105,BBA,1,2,25,123,0,4.94,5,2.74,5,5,Buisness Studies,0,0,15,0,5,16,4,4.67,4.67,4.67,4,3,3.67,4.33,5,3.33,Complete
106,BBA,1,1,26,27,0,4.75,3.6,1.96,6,6,COMARCE,0,0,0,0,0,4,3.67,2.33,1,2,3,4.33,3,2.33,3.33,2.67,Dropout
107,BBA,1,1,27,123,0,4.88,5,3.68,5,5,B. studies,0,10,4,0,1,14,5,4,5,4.33,4.33,3.33,4.67,5,5,4.33,Complete
108,BBA,1,2,25,123,0,5,5,3.23,5,5,BUSINESS STUDIES,0,4,21,0,1,13,4.67,4,5,2.33,4.33,2.67,4.33,2.33,4,2.67,Complete
109,BBA,1,1,0,30,0,5,5,3.33,5,5,Business Studies,32000,2,2,0,0,3,2.67,3.67,4.33,4.33,4,5,5,5,5,4.33,Dropout
110,BBA,1,2,26,123,0,5,5,4,5,5,Science,0,13,1,0,0,14,5,5,5,5,5,5,5,5,5,5,Complete
111,BBA,1,1,26,9,0,5,5,2.67,3,5,Commerce,1000,0,1,0,0,1,3.33,2.67,5,0,0,0,0,0,0,0,Dropout
112,BBA,1,1,26,123,0,4.13,4.2,2.11,5,5,bussiness study,-1109,0,0,0,3,15,4.67,4,4,3,2.67,4,2.33,1,1,3.33,Complete
113,BBA,1,1,25,0,0,5,5,0,9,4,HUMANITIES,25750,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Dropout
114,BBA,1,2,26,123,0,5,5,3.8,5,5,BUSINESS STUDIES,0,12,5,0,0,13,5,4.67,4.33,5,4.67,5,4.33,5,4.67,5,Complete
115,BBA,1,1,26,123,0,4.38,5,3.54,4,5,BUSINESS STUDIES,0,9,5,0,0,13,5,3.67,4,4.67,5,5,4.33,5,5,3.33,Complete
116,BBA,1,1,26,126,0,5,4.8,2.56,8,8,Business Studies,0,0,0,0,4,14,2.33,3.33,3.67,4,3.33,4.67,4,2.67,4.33,2.67,Complete
117,BBA,1,1,0,15,0,4.5,4.4,1.56,5,5,Commerce,0,0,0,0,0,5,1,1,1,1,1,1,2.67,4.33,3,0,Dropout
118,BBA,1,1,0,9,0,4.38,4.9,1.28,5,0,Business Studies,0,0,0,0,0,2,1,1,1,3.33,3.33,4,0,0,0,0,Dropout
119,BBA,1,2,27,36,0,4.81,5,3.5,5,5,BUSINES STUDIES,0,1,5,0,0,5,5,5,4,5,5,3.67,5,3.67,4.67,5,Dropout
120,BBA,1,1,27,123,0,4.5,5,3.76,6,6,Business Studies,0,9,4,0,0,13,5,4.33,5,5,4.67,4.67,5,5,5,4.67,Complete
121,BBA,1,1,0,120,0,4.5,5,2.31,5,5,Buisness Studies,0,0,17,0,1,17,1,4.67,4.67,4,4.67,4.67,5,4,3.33,3.67,Dropout
122,BBA,1,2,26,18,0,5,5,2.39,0,0,0,0,0,2,0,0,2,2,3,2.33,5,3.67,4.33,0,0,0,0,Dropout
123,BBA,1,1,27,123,0,5,5,3.2,5,5,B.Studies,30000,5,10,0,4,15,4.67,3.67,3.67,3,3,3.33,2.67,3,3.67,3.33,Complete
124,BBA,1,1,26,123,0,4.81,5,3.17,5,5,BUSINESS STUDIES,0,1,13,0,0,14,3.67,4,4.33,3,4.67,5,4.33,3.67,3.67,4,Complete
125,BBA,1,1,26,27,0,4.56,5,1.89,5,5,Business studies,37000,0,4,0,0,4,1,1,1,3,2.67,2.67,2.67,4,4.33,4.67,Dropout
126,BBA,1,1,26,138,0,4.88,5,3.73,5,5,BUSINESS STUDIES,0,9,7,0,0,16,4.67,4.67,5,5,5,4.67,4,4.67,5,4.33,Complete
127,BBA,1,2,26,123,0,4.88,5,3.15,5,5,Business studies,-2,3,11,0,0,13,4.67,4.67,4,4.33,4.67,4.67,5,4,4.67,3.67,Complete
128,BBA,1,1,27,0,0,4.31,5,0,4,4,huminities,25750,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Dropout
129,BBA,1,2,25,123,0,5,5,2.78,0,5,BUSINESS STUDIES,0,0,14,0,0,14,3,4.33,3,3.33,4.33,4.67,2.67,3,3.67,3.67,Complete
130,BBA,1,2,26,123,0,4.56,4.7,1.98,5,5,Buisness Studies,0,0,0,0,4,17,3,1,1,2,2,2.67,2.67,2,2.33,3.33,Complete
131,BBA,1,2,27,27,0,5,5,2.81,5,5,BUSINESS STUDIES,37900,2,2,0,1,4,1,1,1,5,4,4.33,5,5,4.33,5,Dropout
132,BBA,1,2,25,123,0,5,5,3.63,5,5,Business Studies,0,8,6,0,1,14,5,4,5,4.67,4.33,4.33,3,4.33,5,3.33,Complete
133,BBA,1,1,25,123,0,3.88,5,3.52,5,5,Buisness Studies,0,2,10,0,0,13,3.67,4.33,5,3,4.33,4.67,5,4.67,4.33,4.67,Complete
134,BBA,1,2,28,126,0,4.13,4.9,3.19,5,5,Business Studies,0,0,0,0,0,14,5,3.67,3.67,3,4,3.67,3.67,4.67,5,4.33,Complete
135,BBA,1,2,25,123,0,4.63,5,2.74,5,5,Buisness Studies,-7,0,18,0,0,18,3,3.33,3.33,4,1,2,4.33,4,4.33,4.67,Complete
136,BBA,1,1,26,132,0,5,5,3.56,4,5,BUSINESS STUDIES,0,7,8,0,0,14,5,5,4.67,5,5,4.67,4.67,5,4,4,Complete
137,BBA,1,1,26,9,0,5,5,1.17,0,5,BUSINESS STUDIES,37000,0,2,0,0,2,1,1,1,3.67,2,4.33,0,0,0,0,Dropout
138,BBA,1,2,28,123,0,5,5,2.75,12,12,SCIENCE,0,0,12,0,4,13,2.33,4,4,3,3,4,3.67,3.67,2.67,5,Complete
139,BBA,1,2,26,123,0,5,5,3.5,5,5,Business Study,0,5,9,0,0,14,5,5,4.33,3.67,4,4.67,5,4.33,4.67,5,Complete
140,BBA,1,2,27,123,0,4.94,5,3.56,5,5,B. STUDY,0,8,6,0,0,14,4.33,5,4,3.67,4.33,4.67,5,5,5,3.67,Complete
141,BBA,1,1,27,123,0,4.75,5,3,4,5,Buisness Studies,0,0,14,0,0,14,4,3.33,3.33,2,3.33,4.33,4.33,3.67,3.67,3.67,Complete
142,BBA,1,1,26,123,0,5,5,2.89,11,11,BUSINESS STUDIES,0,0,13,0,3,13,5,3.67,3,4.33,4.67,4.33,4,4.67,4,3,Complete
143,BBA,1,2,25,9,0,5,5,2.56,4,4,BUSINESS STUDIES,-7500,0,2,0,0,2,3.33,3.67,3.67,0,0,0,0,0,0,0,Dropout
144,BBA,1,2,25,123,0,4.56,5,2.96,0,0,0,0,1,13,0,4,14,4,3,3.33,4.33,4.33,3.33,4.67,4,4.33,3.33,Complete
145,BBA,1,2,26,123,0,5,5,3.81,5,5,Business studies,0,12,3,0,1,14,4.67,4.33,5,5,5,5,5,5,5,4.33,Complete
146,BBA,1,2,25,123,0,5,5,3.85,5,5,Buisness Studies,0,11,4,0,0,14,5,4.33,5,5,5,5,5,5,5,4.67,Complete
147,BBA,1,1,27,21,0,4.81,3.8,2.29,5,5,science,0,0,0,0,1,3,2.67,4,2.67,1,1,3.33,4.33,3.33,2.67,0,Dropout
148,BBA,1,1,25,123,0,4.81,5,3.23,5,5,Business Studies,0,5,10,0,1,15,5,5,4,4,2,2.33,5,4.67,4.67,5,Complete
149,BBA,1,2,26,123,0,4.63,5,3.38,5,5,Business Studies,-3,4,11,0,0,15,4,4.33,5,4,4,3.67,4,3.67,2.33,4.33,Complete
150,BBA,1,1,26,123,0,4.19,5,3.57,0,0,0,-1100,8,8,0,0,16,3.67,4.67,5,4.33,4.33,4.67,5,4.67,1,1,Complete
151,BBA,1,2,25,123,0,5,5,3.79,5,5,Business Studies,0,11,3,0,0,14,5,5,4.33,4,4.33,5,4.67,3.67,4.33,4.33,Complete
152,BBA,1,2,26,24,0,5,5,2,6,5,BUSINESS STUDIES,37000,0,7,0,0,4,1,1,1,3.33,1,4,4,2.67,4,4.67,Dropout
153,BBA,1,1,0,123,0,5,5,2.5,6,6,Business Studies,0,0,16,0,3,16,5,4.33,3.67,3.67,3.67,4.33,4,4.33,4.67,3.33,Complete
154,BBA,1,1,26,9,0,4.31,5,1.67,0,0,0,0,0,1,0,0,1,2,2.33,3.67,0,0,0,0,0,0,0,Dropout
155,BBA,1,1,25,123,0,4.19,5,2.63,5,0,0,0,0,15,0,2,15,3,2.67,3,2.67,1,2,4.33,3.33,4.33,4.67,Complete
156,BBA,1,2,26,123,0,5,5,2.72,5,5,Business Studies,0,1,13,0,0,14,3,2.67,4,3.67,5,4,4.67,2.67,4,4.67,Complete
157,BBA,1,1,0,0,0,5,5,0,5,5,Business studies,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Dropout
158,BBA,1,1,26,0,0,5,5,0,9,5,Commarce,25750,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Dropout
159,BBA,1,1,26,27,0,3.94,5,1.93,5,5,Buisness Studies,37000,0,4,0,0,4,4,1,4.33,3.67,2,1,2,2.33,4,4,Dropout
160,BBA,1,2,28,0,0,4.31,5,0,5,5,COMMERCE,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Dropout
161,BBA,1,2,26,72,0,5,5,3.02,5,5,Business Studies,-104,3,2,0,0,6,1,1,1,3,5,4.67,5,5,5,5,Dropout
162,BBA,1,2,27,120,0,4.81,5,2.91,5,5,Business Studies,0,0,28,0,0,14,1,3.67,4.33,3.67,4,4.67,4.33,4.33,4.33,4.33,Dropout
163,BBA,1,2,26,120,0,4.31,5,3.55,5,5,Business studies,0,8,21,0,0,14,1,4.67,4.67,4.33,4.33,5,4.33,5,5,4.33,Dropout
164,BBA,1,2,27,42,0,5,5,2.56,4,4,Business Studies,0,1,5,0,0,6,4.67,1,1,4.33,3,4.67,3.67,1,3.67,2.33,Dropout
165,BBA,1,2,26,132,0,5,5,3.59,3,3,Business Study,0,10,5,0,0,15,4.67,3.33,4.67,4,3,3,4.67,5,5,4.33,Complete
