Id_Key,Dept,Gender,Age,Total Comp,District,SSC_RES,HSC,CGPA,SSC_Board,HSC_Board,GroupOrSubject,TotalDue,ScholarshipCount,WaiverCount,ReAdmission,TotalLateRegFineCount,StudyDurationAtUiu,Course_1,Course_2,Course_3,Course_4,Course_5,Course_6,Course_7,Course_8,Course_9,Course_10,Status
925,1,2,27,123,0,4.6,3,3.8,2,2,Science,-1000,8,0,0,1,11,4.33,4.67,4.67,5,5,4,4.33,5,4.67,5,Complete
926,1,2,23,123,0,5,3.92,2.58,5,5,Business Studies,0,0,0,0,3,16,2,4,3.67,1,2,2,2,2.67,4.67,2,Complete
927,1,1,25,9,0,5,3.25,0.89,11,11,Science,37000,0,0,0,0,2,1,1,1,3.67,2,2.67,0,0,0,0,Dropout
928,1,2,24,123,0,5,4.92,3.72,5,5,Science,0,8,0,0,0,12,4.67,5,5,5,4.67,5,5,5,5,5,Complete
929,1,1,26,21,0,4.69,4.2,1.56,9,8,Business Studies,0,0,0,0,0,4,1,1,2.67,3.67,2,3,1,3.67,3.67,2.33,Dropout
930,1,2,23,54,0,4.19,4.17,1.72,5,5,Business Studies,0,0,0,0,0,9,2,1,1,2,3.67,2.67,2,3,2.67,2,Dropout
931,1,2,24,123,0,3.88,4.58,2.75,5,5,Business Studies,0,3,0,0,0,15,2.33,4,3.33,1,4,3,3.33,2.33,4.33,4.33,Complete
932,1,1,24,30,0,3.75,3.42,1.51,5,5,Science,0,0,0,0,0,9,1,2.67,1,1,1,1,1,1,1,1,Dropout
933,1,2,25,123,0,5,4.25,3.08,1,1,BUSINESS STUDIES,0,0,0,0,2,16,4.67,4,3.33,2.67,5,4.67,4.33,4,5,5,Complete
934,1,2,27,123,0,3.2,3.5,3.63,2,10,Science,0,7,0,0,1,14,5,5,5,4.33,3.33,5,3.33,5,4.33,4.67,Complete
935,1,1,27,33,0,4.69,3.5,1.62,5,5,Business Study,37000,0,0,0,4,9,2.33,2.33,1,4,1,1,1,1,1,1,Dropout
936,1,1,26,123,0,4,3.5,3,6,5,"english language and reading,english language and writing,mathematics,social studies,science",5500,3,0,0,5,14,5,4,5,5,4.67,3.67,3.67,4.67,4.67,4.67,Complete
937,1,1,24,6,0,4.88,3.67,0.93,11,11,Commerce,37000,0,0,0,0,2,1,1,1,1,4.33,2.33,0,0,0,0,Dropout
938,1,2,24,42,0,4.56,4,1.82,11,11,science,0,0,0,0,2,6,3,4,3,2.67,1,2,3,2,1,3.33,Dropout
939,1,1,25,123,0,4.88,4.83,3.65,5,5,Science,0,9,0,0,0,13,5,4.33,4.33,5,5,5,3.33,5,4.33,5,Complete
940,1,2,23,18,0,4.75,3.58,1.52,5,5,Business Studies,0,0,0,0,0,4,2.33,1,1,2,2.67,1,3,3,3.67,1,Dropout
941,1,2,24,9,0,4.94,4.5,0.95,5,5,Business Studies,37200,0,0,0,1,2,1,1,1,4,2,2.67,0,0,0,0,Dropout
942,1,1,26,123,0,3.88,3.58,2.4,5,5,Busines Studies,0,0,14,0,1,14,4.33,4.33,3.67,3.33,4.67,3.33,3.33,3.33,4,3.33,Complete
943,1,1,25,18,0,4.25,3.08,1.37,5,5,Business Studies,800,0,0,0,1,5,1,1,1,1,1,1,1,2,1,2.33,Dropout
944,1,1,27,0,0,3,3.5,0,5,5,Science,20000,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,Dropout
945,1,1,25,120,0,5,4.88,2.98,11,10,Accounting,0,0,0,0,3,15,1,5,4.67,4.33,4.33,4.33,4.33,3.67,4,4.67,Dropout
946,1,1,24,30,0,4.63,3.5,1.43,5,5,Commerce,0,0,0,0,3,5,1,1,1,3.67,2.33,2,2,1,1,3.67,Dropout
